Keyword,URL,Position04/25/2014,Trend04/18/2014,Tags,Title,Universal Search Integrations,Search Volume,Traffic Index,CPC,,,Pos. - Google USA English
things to do in houston,www.groupon.com/local/houston/things-to-do,7,-1,"cat: events & activities,city: things to do,houston,top: things to do do",Things To Do In Houston - Deals in Houston | Groupon,"images,carousel,knowledge_graph",27675,444,0.68,,,
local restaurants,www.groupon.com/local/restaurants,8,-1,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,,26466,412,0.24,,,
things to do in phoenix,www.groupon.com/local/phoenix/things-to-do,7,0,"cat: events & activities,city: things to do,phoenix,top: things to do do",Things To Do In Phoenix - Deals in Phoenix | Groupon,"images,video,carousel,knowledge_graph",24491,392,0.38,,,
things to do in austin,www.groupon.com/local/austin/things-to-do,8,1,"austin,cat: events & activities,city: things to do,top: things to do do",Things To Do In Austin - Deals in Austin | Groupon,"images,video,carousel,knowledge_graph",26133,352,0.77,,,
deals,www.groupon.com/,13,0,,"Groupon: Deals on Restaurants, Fitness, Travel, Shopping ...","images,news,knowledge_graph",80000,344,0.91,,,
things to do in seattle,www.groupon.com/local/seattle/things-to-do,10,0,"cat: events & activities,city: things to do,seattle,top: things to do do",Things To Do In Seattle - Deals in Seattle | Groupon,"images,carousel,knowledge_graph",36933,332,0.68,,,
groupon colorado springs,www.groupon.com/colorado-springs?dl=t31337,1,0,brand,Colorado Springs Deals - Groupon,video,1858,260,0.1,,,
groupon colorado springs,www.groupon.com/local/colorado-springs/restaurants,2,0,brand,Restaurants in Colorado Springs - Groupon,video,1858,92,0.1,,,
groupon colorado springs,www.groupon.com/local/colorado-springs/things-to-do,3,0,brand,Things To Do In Colorado Springs - Deals in ... - Groupon,video,1858,68,0.1,,,
massage orlando,www.groupon.com/local/orlando/massage,1,0,"cat: beauty & spa,city: massage,orlando",Orlando Massage - Deals in Orlando | Groupon,"video,maps",1850,260,1.45,,,
things to do in milwaukee,www.groupon.com/local/milwaukee/things-to-do,6,0,"cat: events & activities,city: things to do,milwaukee,top: things to do do",Things To Do In Milwaukee - Deals in Milwaukee | Groupon,"images,video,carousel,knowledge_graph",10801,236,0.47,,,
things to do in los angeles,www.groupon.com/local/los-angeles/things-to-do,10,0,"cat: events & activities,city: things to do,los angeles,top: things to do do",Things To Do In Los Angeles - Deals in Los ... - Groupon,"images,video,carousel,knowledge_graph",25911,232,0.89,,,
restaurant deals,www.groupon.com/local/restaurants,2,0,"cat: food & drink,top: restaurants",Restaurant - Deals &amp; Coupons | Groupon,,4266,216,1.01,,,
golf deals,www.groupon.com/local/golf,2,0,cat: events & activities,Golf - Deals &amp; Coupons | Groupon,,4208,212,1.36,,,
food deals,www.groupon.com/local/restaurants,1,0,,Restaurant - Deals &amp; Coupons | Groupon,video,1425,200,1.67,,,
groupon toledo,www.groupon.com/toledo?dl=t31337,1,0,brand,Toledo - Groupon,,1400,196,0.08,,,
groupon toledo,www.groupon.com/local/toledo/restaurants,2,0,brand,Toledo Restaurants - Deals &amp; Coupons in Toledo | Groupon,,1400,72,0.08,,,
groupon toledo,www.groupon.com/local/toledo/things-to-do,3,0,brand,Things To Do In Toledo - Deals in Toledo | Groupon,,1400,52,0.08,,,
san antonio attractions,www.groupon.com/local/san-antonio/things-to-do,7,0,"cat: events & activities,city: attractions,san antonio",Things To Do In San Antonio - Deals in San Antonio | Groupon,"images,video,carousel,knowledge_graph",11416,180,1.83,,,
